Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
2741,2741,6/22/2006,Corporal,22,U.S. Marine,Hostile,hostile fire,Ramadi,Pacific,Missouri,US,16974
2742,2744,6/23/2006,Corporal,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Nokomis,Illinois,US,16975
2743,2743,6/23/2006,Staff Sergeant,34,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Constantinople,Illinois,US,16975
2744,2742,6/23/2006,Private 1st Class,21,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Jamestown,North Dakota,US,16975
2745,2746,6/23/2006,Specialist,30,U.S. Army National Guard,Non-hostile,NA,Baghdad,Sylvester,Georgia,US,16975
2746,2745,6/23/2006,Private 1st Class,19,U.S. Army,Hostile,hostile fire - IED attack,"Brooke Army Med Center, TX",Port Orchard,Washington,US,16975
2747,2747,6/24/2006,Sergeant,21,U.S. Army,Hostile,hostile fire - bomb,Baghdad,Rainier,Washington,US,16976
2748,2748,6/24/2006,Sergeant,22,U.S. Army,Hostile,hostile fire - IED attack,Baghdad,Mount Vernon,Ohio,US,16976
2749,2749,6/24/2006,Staff Sergeant,33,U.S. Army,Hostile,hostile fire - IED attack,Balad,Houston,Texas,US,16976
2750,2750,6/25/2006,Corporal,23,U.S. Marine Reserve,Hostile,hostile fire,Fallujah,Tyngsboro,Massachusetts,US,16977
2751,2753,6/26/2006,Private 1st Class,21,U.S. Army,Hostile,hostile fire - small arms fire,Al Anbar Province,Baltimore,Maryland,US,16978
2752,2752,6/26/2006,Staff Sergeant,30,U.S. Marine,Hostile,hostile fire - IED attack,Al Taqaddum,Lake Orion,Michigan,US,16978
2753,2751,6/26/2006,Sergeant,26,U.S. Army,Hostile,hostile fire - mortar attack,Ramadi,Fox Lake,Illinois,US,16978
2754,2756,6/27/2006,Corporal,27,U.S. Marine,Hostile,hostile fire,Al Taqaddum,Riverside,California,US,16979
2755,2754,6/27/2006,Corporal,25,U.S. Army,Hostile,hostile fire - IED attack,Iskandariyah,Millard,Nebraska,US,16979
2756,2755,6/27/2006,Sergeant 1st Class,33,U.S. Army,Hostile,hostile fire - IED attack,Taji,Winnsboro,Louisiana,US,16979
